date, pm25, pm10, no2
2023/7/14, 23, 7, 2
2023/7/15, 17, 11, 3
2023/7/16, 26, 13, 11
2023/7/17, 20, 16, 16
2023/7/18, 33, 14, 12
2023/7/19, 26, 18, 14
2023/7/20, 36, 17, 16
2023/7/21, 30, 14, 7
2023/7/22, 28, 6, 1
2023/7/23, 16, 11, 11
2023/7/24, 24, 14, 16
2023/7/25, 23, 12, 10
2023/7/26, 27, 8, 4
2023/7/27, 19, 10, 11
2023/7/28, 21, 10, 9
2023/7/29, 27, 13, 5
2023/7/30, 19, 7, 2
2023/7/31, 18, 12, 9
2023/8/1, 25, 8, 2
2023/8/2, 13, 13, 15
2023/8/3, 21, 17, 15
2023/8/4, 25, 10, 5
2023/8/5, 14, 7, 6
2023/8/6, 11, 14, 11
2023/8/7, 17, 14, 11
2023/8/8, 16, 12, 13
2023/8/9, 19, 13, 11
2023/8/10, 22, 16, 11
2023/8/11, 26, 14, 8
2023/8/12, 15, 11, 8
2023/8/13, 15, 11, 12
2023/8/14, 20, 13, 14
2023/8/15, 24, 14, 17
2023/8/16, 19, 15, 13
2023/8/17, 28, 25, 11
2023/8/18, 51, 13, 12
2023/8/19, 25, 11, 12
2023/8/20, 15, 15, 17
2023/8/21, 21, 20, 17
2023/8/22, 25, 20, 17
2023/8/23, 26, 17, 13
2023/8/24, 31, 22, 15
2023/8/25, 34, 7, 6
2023/8/26, 11, 8, 8
2023/8/27, 17, 15, 17
2023/8/28, 19, 14, 15
2023/8/29, 28, 14, 14
2023/8/30, 19, 10, 7
2023/8/31, 17, 8, 8
2023/9/1, 15, 12, 16
2023/9/2, 22, 13, 13
2023/9/3, 34, 12, 14
2023/9/4, 27, 18, 16
2023/9/5, 33, 33, 29
2023/9/6, 50, 27, 26
2023/9/7, 44, 32, 33
2023/9/8, 51, 30, 23
2023/9/9, 52, 26, 20
2023/9/10, 48, 27, 22
2023/9/11, 47, 18, 18
2023/9/12, 33, 15, 18
2023/9/13, 18, , 16
2023/9/14, 37, 16, 16
2023/9/15, 31, 16, 18
2023/9/16, 31, 17, 16
2023/9/17, 37, 11, 8
2023/9/18, 16, 13, 5
2023/9/19, 17, 9, 3
2023/9/20, 15, 9, 12
2023/9/21, 15, 8, 11
2023/9/22, 17, 12, 14
2023/9/23, 20, 12, 10
2023/9/24, 22, 17, 21
2023/9/25, 26, 21, 16
2023/9/26, 26, , 10
2023/9/27, 32, 17, 7
2023/9/28, 23, 16, 15
2023/9/29, 24, 18, 13
2023/9/30, 34, 20, 14
2023/4/1, 25, 16, 14
2023/4/2, 31, 19, 21
2023/4/3, 50, 21, 24
2023/4/4, 48, 33, 26
2023/4/5, 70, 19, 15
2023/4/6, 43, 22, 27
2023/4/7, 36, 18, 20
2023/4/8, 41, 17, 9
2023/4/9, 47, 13, 11
2023/4/10, 38, 15, 7
2023/4/11, 24, 9, 7
2023/4/12, 20, 16, 12
2023/4/13, 26, 8, 7
2023/4/14, 22, 15, 18
2023/4/15, 39, 23, 22
2023/4/16, 58, 27, 22
2023/4/17, 62, 42, 24
2023/4/18, 91, 21, 18
2023/4/19, 58, 26, 24
2023/4/20, 47, 23, 20
2023/4/21, 57, 19, 13
2023/4/22, 55, 10, 7
2023/4/23, 21, 16, 16
2023/4/24, 32, 23, 26
2023/4/25, 39, 17, 11
2023/4/26, 34, 15, 7
2023/4/27, 40, 10, 12
2023/4/28, 26, 16, 18
2023/4/29, 46, 19, 12
2023/4/30, 53, 22, 14
2023/5/1, 52, 22, 19
2023/5/2, 44, 21, 15
2023/5/3, 46, 17, 9
2023/5/4, 39, 10, 5
2023/5/5, 20, 11, 4
2023/5/6, 24, 16, 16
2023/5/7, 50, 15, 8
2023/5/8, 42, 9, 11
2023/5/9, 21, 18, 15
2023/5/10, 24, 19, 21
2023/5/11, 24, 18, 21
2023/5/12, 28, 36, 20
2023/5/13, 61, 26, 17
2023/5/14, 47, 28, 20
2023/5/15, 46, 29, 20
2023/5/16, 23, 27, 23
2023/5/17, 32, 22, 18
2023/5/18, 34, 29, 20
2023/5/19, 40, 27, 19
2023/5/20, 41, 29, 17
2023/5/21, 46, 39, 21
2023/5/22, 43, 36, 21
2023/5/23, 37, 33, 22
2023/5/24, 32, 35, 21
2023/5/25, 45, 36, 24
2023/5/26, 43, 31, 20
2023/5/27, 40, 33, 17
2023/5/28, 48, 29, 15
2023/5/29, 39, 42, 21
2023/5/30, 37, 41, 24
2023/5/31, 44, 41, 24
2023/6/1, 52, 30, 20
2023/6/2, 30, 29, 18
2023/6/3, 42, 19, 17
2023/6/4, 26, 37, 20
2023/6/5, 38, 40, 21
2023/6/6, 45, 34, 25
2023/6/7, 50, 34, 22
2023/6/8, 52, 28, 21
2023/6/9, 49, 19, 17
2023/6/10, 36, 27, 16
2023/6/11, 47, 20, 21
2023/6/12, 29, 23, 20
2023/6/13, 42, 35, 30
2023/6/14, 65, 39, 34
2023/6/15, 101, 32, 30
2023/6/16, 101, 28, 26
2023/6/17, 9, 15, 10
2023/6/20, 9, 16, 20
2023/6/21, 13, 18, 20
2023/6/22, 11, 17, 17
2023/6/23, 41, 13, 17
2023/6/24, 38, 14, 10
2023/6/25, 30, 18, 15
2023/6/26, 24, 18, 15
2023/6/27, 27, 24, 18
2023/6/28, 48, 24, 17
2023/6/29, 55, 16, 12
2023/6/30, 31, 12, 7
2023/1/2, 33, 12, 10
2023/1/3, 30, 5, 6
2023/1/4, 18, 10, 7
2023/1/5, 23, 4, 3
2023/1/6, 13, 7, 1
2023/1/7, 21, 7, 2
2023/1/8, 12, 11, 13
2023/1/9, 22, 10, 7
2023/1/10, 20, 13, 8
2023/1/11, 25, 9, 3
2023/1/12, 19, 17, 10
2023/1/13, 28, 7, 6
2023/1/14, 18, 5, 4
2023/1/15, 15, 12, 17
2023/1/16, 29, 22, 25
2023/1/17, 63, 21, 19
2023/1/18, 64, 24, 26
2023/1/19, 71, 30, 28
2023/1/20, 73, 41, 25
2023/1/21, 67, 42, 25
2023/1/22, 83, 39, 23
2023/1/23, 77, 42, 20
2023/1/24, 86, 51, 22
2023/1/25, 115, 36, 26
2023/1/26, 82, 27, 27
2023/1/27, 43, 32, 25
2023/1/28, 59, 30, 18
2023/1/29, 77, 28, 23
2023/1/30, 49, 29, 21
2023/1/31, 59, 34, 21
2023/2/1, 43, 28, 21
2023/2/2, 33, 18, 21
2023/2/3, 28, 27, 25
2023/2/4, 40, 27, 22
2023/2/5, 45, 41, 28
2023/2/6, 54, 29, 20
2023/2/7, 61, 42, 24
2023/2/8, 84, 54, 27
2023/2/9, 121, 46, 27
2023/2/10, 92, 39, 24
2023/2/11, 100, 12, 9
2023/2/12, 44, 32, 19
2023/2/13, 85, 47, 23
2023/2/14, 121, 54, 25
2023/2/15, 139, 28, 16
2023/2/16, 67, 11, 14
2023/2/17, 22, 11, 8
2023/2/18, 18, 25, 15
2023/2/19, 44, 30, 23
2023/2/20, 62, 40, 23
2023/2/21, 88, 33, 18
2023/2/22, 80, 25, 23
2023/2/23, 72, 29, 25
2023/2/24, 113, 26, 25
2023/2/25, 39, 21, 17
2023/2/26, 31, 21, 20
2023/2/27, 40, 34, 28
2023/2/28, 62, 39, 27
2023/3/1, 71, 49, 27
2023/3/2, 94, 40, 27
2023/3/3, 79, 32, 31
2023/3/4, 56, 29, 24
2023/3/5, 57, 29, 14
2023/3/6, 55, 18, 12
2023/3/7, 44, 10, 8
2023/3/8, 30, 13, 4
2023/3/9, 26, 12, 15
2023/3/10, 27, 10, 7
2023/3/11, 33, 20, 5
2023/3/12, 40, 9, 2
2023/3/13, 22, 18, 17
2023/3/14, 22, 16, 13
2023/3/15, 40, 14, 8
2023/3/16, 35, 20, 15
2023/3/17, 45, 8, 6
2023/3/18, 23, 18, 20
2023/3/19, 41, 20, 12
2023/3/20, 43, 14, 9
2023/3/21, 31, 5, 2
2023/3/22, 17, 9, 1
2023/3/23, 17, 7, 5
2023/3/24, 17, 14, 7
2023/3/25, 23, 11, 8
2023/3/26, 19, 21, 26
2023/3/27, 31, 9, 5
2023/3/28, 24, 13, 6
2023/3/29, 32, 14, 7
2023/3/30, 26, 13, 4
2023/3/31, 24, 13, 12
2022/10/3, 61, 23, 13
2022/10/4, 43, 13, 14
2022/10/5, 22, 26, 5
2022/10/6, 35, 21, 17
2022/10/7, 43, 19, 17
2022/10/8, 34, 15, 17
2022/10/9, 33, 28, 12
2022/10/10, 50, 26, 20
2022/10/11, 44, 27, 21
2022/10/12, 56, 18, 17
2022/10/13, 45, 11, 11
2022/10/14, 35, 7, 13
2022/10/15, 20, 12, 5
2022/10/16, 30, 18, 12
2022/10/17, 45, 20, 14
2022/10/18, 45, 15, 14
2022/10/19, 31, 15, 5
2022/10/20, 33, 13, 8
2022/10/21, 23, 12, 5
2022/10/22, 22, 14, 8
2022/10/23, 33, 10, 9
2022/10/24, 19, 13, 3
2022/10/25, 24, 11, 7
2022/10/26, 27, 23, 6
2022/10/27, 47, 26, 17
2022/10/28, 53, 27, 15
2022/10/29, 54, 22, 16
2022/10/30, 51, 17, 14
2022/10/31, 41, 10, 10
2022/11/1, 14, 18, 1
2022/11/2, 31, 10, 6
2022/11/3, 19, , 6
2022/11/13, 61, 15, 8
2022/11/14, 48, 8, 8
2022/11/15, 22, 8, 6
2022/11/16, 20, 7, 2
2022/11/17, 13, 11, 5
2022/11/18, 27, 19, 17
2022/11/19, 49, 16, 24
2022/11/20, 42, 13, 13
2022/11/21, 29, 7, 8
2022/11/22, 18, 14, 5
2022/11/23, 28, 14, 7
2022/11/24, 28, 25, 7
2022/11/25, 53, 23, 21
2022/11/26, 61, 11, 12
2022/11/27, 41, 16, 7
2022/11/28, 39, 20, 12
2022/11/29, 57, 20, 17
2022/11/30, 55, 33, 15
2022/12/1, 72, 35, 23
2022/12/2, 84, 24, 23
2022/12/3, 71, 23, 14
2022/12/4, 68, 37, 12
2022/12/5, 90, 35, 17
2022/12/6, 75, 41, 20
2022/12/7, 103, 31, 19
2022/12/8, 86, 33, 15
2022/12/9, 75, 23, 24
2022/12/10, 74, 20, 14
2022/12/11, 69, 25, 6
2022/12/12, 73, 38, 9
2022/12/13, 73, 49, 16
2022/12/14, 86, 48, 25
2022/12/15, 83, 42, 31
2022/12/16, 85, 34, 33
2022/12/17, 96, 27, 15
2022/12/18, 85, 12, 9
2022/12/19, 34, 11, 9
2022/12/20, 25, 13, 14
2022/12/21, 35, 14, 15
2022/12/22, 34, 9, 14
2022/12/23, 21, 15, 10
2022/12/24, 34, 10, 6
2022/12/25, 35, 13, 9
2022/12/26, 27, 13, 16
2022/12/27, 37, 7, 10
2022/12/28, 19, 12, 2
2022/12/29, 24, 7, 5
2022/12/30, 18, 11, 4
2022/12/31, 23, 11, 1
2023/1/1, 27, 12, 2
2022/7/7, 41, 22, 18
2022/7/8, 40, 21, 25
2022/7/9, 49, 19, 21
2022/7/10, 32, 12, 14
2022/7/11, 36, 14, 19
2022/7/12, 39, 18, 23
2022/7/13, 50, 26, 29
2022/7/14, 59, 22, 18
